"Freq [GHz]","dB(S(Beam1_1_p1,Beam1_1_p1)) []","ang_rad(S(Beam1_1_p1,Beam1_1_p1)) [rad]"
3.31,-38.4124164866818,-0.490039928746233
3.32,-38.4372723264587,-0.689902315393498
3.33,-38.4622074084064,-0.889756584644815
3.34,-38.4872216574177,-1.08960267315055
3.35,-38.5123150060339,-1.2894405169189
3.36,-38.5374873833732,-1.48927005193836
3.37,-38.5627386974906,-1.68909121413791
3.38,-38.588068885663,-1.88890393894862
3.39,-38.6134778500379,-2.08870816098049
3.4,-38.6389655147371,-2.28850381544602
3.41,-38.664531786582,-2.48829083632161
3.42,-38.6901765723858,-2.68806915797755
3.43,-38.7158997849145,-2.88783871376012
3.44,-38.7417013114221,-3.08759943743355
3.45,-38.7675810647276,2.99583404530803
3.46,-38.7935389311069,2.7960911874145
3.47,-38.8195748065637,2.59635736371673
3.48,-38.8456885778817,2.39663264198071
3.49,-38.8718801298243,2.19691709076077
3.5,-38.8981493462252,1.99721077867869
3.51,-38.9244961004269,1.79751377453387
3.52,-38.9509202668435,1.59782614780047
3.53,-38.9774217263877,1.39814796823836
3.54,-39.0040003278869,1.1984793060782
3.55,-39.0306559495573,0.998820231327856
3.56,-39.057388443121,0.799170814931129
3.57,-39.0841976646438,0.599531128158195
3.58,-39.1110834628932,0.399901242210365
3.59,-39.1380456877005,0.200281229201695
3.6,-39.1650841847413,0.000671161333345141
3.61,-39.1921987854285,-0.198928889022276
3.62,-39.2193893296178,-0.398518849047891
3.63,-39.246655638615,-0.598098645050142
3.64,-39.2739975442468,-0.79766820367967
3.65,-39.3014148650534,-0.997227450940455
3.66,-39.328907419824,-1.19677631220947
3.67,-39.3564750094118,-1.39631471320882
3.68,-39.3841174560498,-1.59584257834403
3.69,-39.4118345473172,-1.79535983233553
3.7,-39.4396260867096,-1.99486639941911
3.71,-39.4674918631017,-2.19436220325601
3.72,-39.4954316649167,-2.39384716740792
3.73,-39.5234452709666,-2.59332121484664
3.74,-39.5515324581209,-2.79278426831288
3.75,-39.5796929977632,-2.99223625009
3.76,-39.6079266507442,3.09150822494664
3.77,-39.6362331845199,2.89207862086994
3.78,-39.6646123441138,2.69266032361189
3.79,-39.6930638826385,2.49325341235881
3.8,-39.7215875411725,2.29385796642844
3.81,-39.7501830561649,2.09447406575962
3.82,-39.7788501586337,1.89510179058881
3.83,-39.8075885743518,1.69574122142841
3.84,-39.8363980161065,1.49639243909848
3.85,-39.8652781956417,1.29705552506995
3.86,-39.8942288245623,1.09773056073434
3.87,-39.9232495982039,0.898417628278551
3.88,-39.9523402097047,0.699116809822723
3.89,-39.9815003438779,0.499828188053326
3.9,-40.0107296799281,0.300551846080507
3.91,-40.0400278900911,0.101287867207553
3.92,-40.0693946391583,-0.0979636648924214
3.93,-40.0988295844711,-0.297202666182886
3.94,-40.1283323774545,-0.496429052498133
3.95,-40.1579026611455,-0.695642738847214
3.96,-40.1875400711401,-0.894843640569956
3.97,-40.2172442365242,-1.09403167207458
3.98,-40.2470147780542,-1.2932067479469
3.99,-40.2768513075738,-1.49236878205489
4,-40.3067534322266,-1.69151768829128
4.01,-40.3367207468837,-1.89065338000692
4.02,-40.3667528426072,-2.08977577036283
4.03,-40.3968492995156,-2.28888477224849
4.04,-40.4270096893728,-2.4879802982872
4.05,-40.4572335784329,-2.68706226074906
4.06,-40.4875205198496,-2.88613057150312
4.07,-40.5178700617093,-3.0851851424916
4.08,-40.5482817426017,2.9989594220948
4.09,-40.5787550909108,2.79993259662714
4.1,-40.6092896268936,2.60091977738213
4.11,-40.6398848613192,2.40192105351022
4.12,-40.6705402972782,2.20293651456244
4.13,-40.701255424763,2.00396625022875
4.14,-40.7320297284809,1.80501035061817
4.15,-40.7628626807783,1.60606890563638
4.16,-40.7937537449424,1.40714200580943
4.17,-40.8247023749476,1.20822974159532
4.18,-40.8557080129829,1.00933220372512
4.19,-40.8867700923476,0.810449483150589
4.2,-40.917888035913,0.611581670867859
4.21,-40.9490612571977,0.41272885818623
4.22,-40.9802891579988,0.213891136370615
4.23,-41.011571128394,0.0150685970171656
4.24,-41.0429065485676,-0.183738668365752
4.25,-41.0742947889559,-0.38253056795993
4.26,-41.1057352069195,-0.581307010120231
4.27,-41.1372271504388,-0.780067902793591
4.28,-41.1687699549318,-0.978813154090273
4.29,-41.2003629430552,-1.1775426719252
4.3,-41.2320054295113,-1.37625636432756
4.31,-41.2636967138685,-1.57495413904942
4.32,-41.2954360855682,-1.77363590411865
4.33,-41.3272228210101,-1.97230156743119
4.34,-41.3590561854387,-2.17095103676044
4.35,-41.3909354302215,-2.36958422022187
4.36,-41.4228597965095,-2.56820102567537
4.37,-41.4548285107393,-2.76680136122026
4.38,-41.4868407885277,-2.96538513503371
4.39,-41.5188958306944,3.11923305193846
4.4,-41.5509928265785,2.92068267693734
4.41,-41.583130951371,2.72214913859824
4.42,-41.615309368586,2.52363252833821
4.43,-41.6475272277665,2.32513293734904
4.44,-41.6797836627295,2.12665045651617
4.45,-41.7120777970607,1.92818517686907
4.46,-41.7444087382168,1.72973718861459
4.47,-41.7767755815101,1.53130658219154
4.48,-41.8091774062589,1.33289344753942
4.49,-41.8416132789825,1.13449787450061
4.5,-41.8740822516708,0.936119952218641
4.51,-41.9065833633087,0.737759769897386
4.52,-41.9391156340377,0.539417416055346
4.53,-41.971678075455,0.341092978928054
4.54,-42.004269680417,0.142786546533914
4.55,-42.0368894266147,-0.0555017940388316
4.56,-42.0695362788421,-0.253771955766724
4.57,-42.1022091865923,-0.452023852277812
4.58,-42.13490708273,-0.650257397651517
4.59,-42.1676288855294,-0.848472506718888
4.6,-42.2003734977852,-1.04666909470899
4.61,-42.2331398075703,-1.24484707752108
4.62,-42.2659266868926,-1.44300637182955
4.63,-42.2987329918422,-1.6411468947463
4.64,-42.3315575624658,-1.83926856425804
4.65,-42.3643992232102,-2.0373712991673
4.66,-42.397256783446,-2.23545501886286
4.67,-42.4301290337725,-2.43351964352777
4.68,-42.4630147540822,-2.63156509444914
4.69,-42.4959127010509,-2.82959129356935
4.7,-42.5288216195915,-3.02759816374965
4.71,-42.5617402380715,3.05759967824459
4.72,-42.5946672663684,2.85963169331208
4.73,-42.6276014013957,2.661683262622
4.74,-42.6605413199323,2.46375445938613
4.75,-42.693485683557,2.26584535563682
4.76,-42.7264331368593,2.06795602208907
4.77,-42.7593823106989,1.87008652851525
