"Freq [GHz]","dB(S(p1,p1)) []","ang_rad(S(p1,p1)) [rad]"
3.136,-29.8568625826165,-2.85518346967601
3.138,-30.1004007329672,-2.87603059336119
3.14,-30.3542753374811,-2.89687537231911
3.142,-30.6191785230551,-2.91770935719136
3.144,-30.8958747664726,-2.9385227131856
3.146,-31.1852115677738,-2.95930397881797
3.148,-31.488132197331,-2.98003976864459
3.15,-31.8056910174944,-3.00071440373314
3.152,-32.1390720261255,-3.02130944801896
3.154,-32.4896114667478,-3.04180312081509
3.156,-32.85882561918,-3.06216954453708
3.158,-33.2484452560344,-3.08237777051621
3.16,-33.6604587701904,-3.10239050202924
3.162,-34.0971667160451,-3.12216239823691
3.164,-34.5612515710597,3.14154751833741
3.166,-35.055868084594,3.12243776153167
3.168,-35.5847619138086,3.10378058277928
3.17,-36.1524278067848,3.08568693311216
3.172,-36.7643241525507,3.06830075864587
3.174,-37.4271696211666,3.05181237755357
3.176,-38.1493622810485,3.03647895845591
3.178,-38.9415864957226,3.02265690623622
3.18,-39.8177167193242,3.010855055611
3.182,-40.7962073443709,3.00182603080575
3.184,-41.9023099973395,2.9967317629279
3.186,-43.1717612442508,2.99746347939497
3.188,-44.6571997586184,3.00731216093597
3.19,-46.4398120902861,3.03252368431832
3.192,-48.65060660534,3.08640861235782
3.194,-51.5008604072755,-3.08105459874248
3.196,-55.196472633422,-2.80462766638311
3.198,-58.2610136340147,-2.12784594485834
3.2,-56.0229857898048,-1.36256722368234
3.202,-52.185103397902,-1.0256715169488
3.204,-49.1593641075434,-0.888495151685113
3.206,-46.8273598129648,-0.825613047072683
3.208,-44.9601297976858,-0.79594848133594
3.21,-43.4124082238934,-0.783628093446267
3.212,-42.0947999874888,-0.781415648222465
3.214,-40.9499253838191,-0.785578745627092
3.216,-39.9391880454857,-0.794006620057457
3.218,-39.0355304642875,-0.80541838055287
3.22,-38.2193101123177,-0.818992328796541
3.222,-37.4758426763267,-0.834177142500597
3.224,-36.7938748036948,-0.850588950716906
3.226,-36.1645981350819,-0.867952025331234
3.228,-35.5809914070756,-0.88606298719109
3.23,-35.0373686208674,-0.904768342028164
3.232,-34.5290607977912,-0.923949901947154
3.234,-34.0521867890122,-0.943515046124324
3.236,-33.6034849415929,-0.963390047421624
3.238,-33.1801872795745,-0.983515396487267
3.24,-32.7799239788578,-1.00384245978498
3.242,-32.4006498142467,-1.02433104821398
3.244,-32.0405868003786,-1.04494761967787
3.246,-31.6981789425233,-1.06566393088443
3.248,-31.3720561637688,-1.08645601261487
3.25,-31.0610052702534,-1.10730338131525
3.252,-30.763946374524,-1.12818842564286
3.254,-30.4799135951064,-1.14909592411422
3.256,-30.208039137932,-1.17001266209188
3.258,-29.9475400756503,-1.19092712481765
3.26,-29.697707296587,-1.21182924921517
3.262,-29.4578962116377,-1.23271022151072
3.264,-29.2275188954635,-1.25356231086883
3.266,-29.0060374055609,-1.27437873155455
3.268,-28.792958074513,-1.29515352785446
